阿根廷	a gen ting
舒服	shu fu
束缚	shu fu
术后	shu hou
书画	shu hua
书籍	shu ji
暑假	shu jia
数据	shu ju
数据包	shu ju bao
数据查询	shu ju cha xun
数据结构	shu ju jie gou
数据库	shu ju ku
数据库的	shu ju ku de
数据类型	shu ju lei xing
数据线	shu ju xian
数控	shu kong
树立	shu li
熟练	shu lian
数量	shu liang
数码	shu ma
数码相机	shu ma xiang ji
书面	shu mian
书名	shu ming
数目	shu mu
树木	shu mu
输入	shu ru
输入法	shu ru fa
书生	shu sheng
舒适	shu shi
舒适的	shu shi de
输送	shu song
熟悉	shu xi
书写	shu xie
属性	shu xing
数学	shu xue
属于	shu yu
术语	shu yu
属于自己	shu yu zi ji
数值	shu zhi
树脂	shu zhi
书中	shu zhong
数字	shu zi
数字电视	shu zi dian shi
数字化	shu zi hua
数组	shu zu
刷新	shua xin
帅哥	shuai ge
率领	shuai ling
率先	shuai xian
双重	shuang chong
双方	shuang fang
双击	shuang ji
双手	shuang shou
双向	shuang xiang
双眼	shuang yan
双赢	shuang ying
水产	shui chan
水产品	shui chan pin
水稻	shui dao
水的	shui de
谁的	shui de
水电	shui dian
谁都	shui dou
税法	shui fa
税费	shui fei
水分	shui fen
水果	shui guo
睡觉	shui jiao
水晶	shui jing
水库	shui ku
税款	shui kuan
水利	shui li
税率	shui lv
睡眠	shui mian
谁能	shui neng
水泥	shui ni
水平	shui ping
水上	shui shang
谁是	shui shi
税收	shui shou
税务	shui wu
税务机关	shui wu ji guan
谁也	shui ye
水域	shui yu
水源	shui yuan
水质	shui zhi
谁知	shui zhi
水中	shui zhong
水准	shui zhun
水资源	shui zi yuan
顺便	shun bian
顺德	shun de
瞬间	shun jian
顺利	shun li
顺序	shun xu
顺着	shun zhe
说不	shuo bu
说不定	shuo bu ding
说出	shuo chu
说到	shuo dao
说的	shuo de
说得	shuo de
说法	shuo fa
说服	shuo fu
说过	shuo guo
说话	shuo hua
说了	shuo le
说明	shuo ming
说明书	shuo ming shu
说你	shuo ni
说起	shuo qi
说什么	shuo shen me
说是	shuo shi
硕士	shuo shi
说实话	shuo shi hua
硕士学位	shuo shi xue wei
说他	shuo ta
说她	shuo ta
说完	shuo wan
说我	shuo wo
说着	shuo zhe
四处	si chu
四川	si chuan
四川省	si chuan sheng
四大	si da
死的	si de
司法	si fa
四方	si fang
私服	si fu
四个	si ge
丝毫	si hao
死后	si hou
似乎	si hu
司机	si ji
四级	si ji
四季	si ji
思考	si kao
死了	si le
饲料	si liao
思路	si lu
司马	si ma
思念	si nian
私人	si ren
四人	si ren
四是	si shi
四十	si shi
斯特	si te
死亡	si wang
思维	si wei
思想	si xiang
思想道德	si xiang dao de
思想政治	si xiang zheng zhi
饲养	si yang
私营企业	si ying qi ye
私语	si yu
四月	si yue
死者	si zhe
四种	si zhong
四周	si zhou
送达	song da
送到	song dao
送给	song gei
送货	song huo
送货上门	song huo shang men
送上	song shang
宋体	song ti
松下	song xia
搜狐	sou hu
搜集	sou ji
搜索	sou suo
搜索结果	sou suo jie guo
搜索引擎	sou suo yin qing
素材	su cai
俗称	su cheng
素的	su de
速度	su du
速度快	su du kuai
塑胶	su jiao
苏联	su lian
塑料	su liao
速率	su lv
宿舍	su she
诉讼	su song
素养	su yang
塑造	su zao
素质	su zhi
素质教育	su zhi jiao yu
苏州	su zhou
苏州市	su zhou shi
算法	suan fa
算了	suan le
酸奶	suan nai
算是	suan shi
随便	sui bian
隧道	sui dao
随后	sui hou
随机	sui ji
随即	sui ji
虽然	sui ran
虽然是	sui ran shi
虽然在	sui ran zai
随时	sui shi
岁时	sui shi
随时随地	sui shi sui di
虽说	sui shuo
随意	sui yi
岁月	sui yue
随着	sui zhe
随之	sui zhi
损害	sun hai
损坏	sun huai
损伤	sun shang
损失	sun shi
所产	suo chan
所称	suo cheng
所持	suo chi
所处	suo chu
所带	suo dai
所得	suo de
所得税	suo de shui
锁定	suo ding
锁定的	suo ding de
缩短	suo duan
所发	suo fa
所列	suo lie
所能	suo neng
索尼	suo ni
索赔	suo pei
索取	suo qu
所示	suo shi
所使用	suo shi yong
所属	suo shu
所属行业	suo shu hang ye
所说	suo shuo
所提供	suo ti gong
所谓	suo wei
缩小	suo xiao
所需	suo xu
所需要的	suo xu yao de
所学	suo xue
所要	suo yao
所以	suo yi
所以说	suo yi shuo
所以我	suo yi wo
所以在	suo yi zai
索引	suo yin
所引起	suo yin qi
所用	suo yong
所有	suo you
所有权	suo you quan
所有人	suo you ren
所有信息	suo you xin xi
所在	suo zai
所在单位	suo zai dan wei
所在地	suo zai di
所在地区	suo zai di qu
所造成	suo zao cheng
所占	suo zhan
所长	suo zhang
所致	suo zhi
所做	suo zuo
他把	ta ba
他不	ta bu
她不	ta bu
它不	ta bu
他才	ta cai
他从	ta cong
他的	ta de
她的	ta de
它的	ta de
他都	ta dou
他对	ta dui
她对	ta dui
他还	ta hai
她还	ta hai
它还	ta hai
他和	ta he
她和	ta he
他很	ta hen
他会	ta hui
她会	ta hui
它会	ta hui
他将	ta jiang
它将	ta jiang
他就	ta jiu
她就	ta jiu
它就	ta jiu
他看	ta kan
他可	ta ke
他没	ta mei
他们	ta men
他们的	ta men de
他们都	ta men dou
他们是	ta men shi
他那	ta na
她那	ta na
它能	ta neng
他却	ta que
他人	ta ren
他认为	ta ren wei
他是	ta shi
她是	ta shi
它是	ta shi
他说	ta shuo
她说	ta shuo
他所	ta suo
他为	ta wei
他想	ta xiang
他要	ta yao
他也	ta ye
她也	ta ye
它也	ta ye
他一	ta yi
他已经	ta yi jing
他用	ta yong
他又	ta you
他有	ta you
她又	ta you
它有	ta you
她有	ta you
他在	ta zai
她在	ta zai
它在	ta zai
他只	ta zhi
他自己	ta zi ji
台北	tai bei
太大	tai da
态度	tai du
太多	tai duo
太多了	tai duo le
太多了吧	tai duo le ba
胎儿	tai er
太高	tai gao
太过	tai guo
太极	tai ji
台阶	tai jie
太空	tai kong
太平	tai ping
太平洋	tai ping yang
泰山	tai shan
台上	tai shang
态势	tai shi
抬头	tai tou
台湾	tai wan
太阳	tai yang
太阳能	tai yang neng
台州	tai zhou
太子	tai zi
探测	tan ce
弹出	tan chu
谈到	tan dao
谈话	tan hua
谈家渡桥	tan jia du qiao
探究	tan jiu
坦克	tan ke
叹了	tan le
谈论	tan lun
谈判	tan pan
探索	tan suo
探讨	tan tao
叹息	tan xi
探险	tan xian
弹性	tan xing
唐代	tang dai
糖尿病	tang niao bing
倘若	tang ruo
唐山	tang shan
躺在	tang zai
淘宝	tao bao
逃避	tao bi
套餐	tao can
掏出	tao chu
陶瓷	tao ci
套房	tao fang
桃花	tao hua
讨论	tao lun
讨论区	tao lun qu
淘汰	tao tai
讨厌	tao yan
套装	tao zhuang
特别	te bie
特别是	te bie shi
特别是在	te bie shi zai
特产	te chan
特长	te chang
特点	te dian
特点是	te dian shi
特定	te ding
特价	te jia
特价机票	te jia ji piao
特权	te quan
特色	te se
特殊	te shu
特殊情况	te shu qing kuang
特效	te xiao
特性	te xing
特意	te yi
特有	te you
特约	te yue
特征	te zheng
特制	te zhi
特质	te zhi
特种	te zhong
疼痛	teng tong
腾讯	teng xun
提案	ti an
题材	ti cai
提倡	ti chang
提成	ti cheng
提出	ti chu
提出了	ti chu le
提出申请	ti chu shen qing
替代	ti dai
提到	ti dao
提高	ti gao
提高到	ti gao dao
提高了	ti gao le
提供	ti gong
提供服务	ti gong fu wu
提供给	ti gong gei
提供了	ti gong le
提供商	ti gong shang
提供一个	ti gong yi ge
提供者	ti gong zhe
替换	ti huan
体会	ti hui
体会到	ti hui dao
体积	ti ji
提及	ti ji
体检	ti jian
提交	ti jiao
体力	ti li
提名	ti ming
题目	ti mu
体内	ti nei
提起	ti qi
提起诉讼	ti qi su song
提前	ti qian
提取	ti qu
提升	ti sheng
提示信息	ti shi xin xi
提问	ti wen
体系	ti xi
体系建设	ti xi jian she
体现	ti xian
体现出	ti xian chu
体现了	ti xian le
体现在	ti xian zai
提醒	ti xing
题型	ti xing
体验	ti yan
提议	ti yi
体育	ti yu
体制	ti zhi
体质	ti zhi
体制改革	ti zhi gai ge
体重	ti zhong
填报	tian bao
天才	tian cai
填充	tian chong
天地	tian di
天赋	tian fu
天后	tian hou
添加	tian jia
添加剂	tian jia ji
天津	tian jin
天津市	tian jin shi
天空	tian kong
甜蜜	tian mi
天内	tian nei
天气	tian qi
天然	tian ran
天然气	tian ran qi
天上	tian shang
天生	tian sheng
天使	tian shi
天数	tian shu
天堂	tian tang
天下	tian xia
甜咸	tian xian
天线	tian xian
填写	tian xie
天涯	tian ya
天真	tian zhen
跳槽	tiao cao
条规	tiao gui
条件	tiao jian
条件下	tiao jian xia
调节	tiao jie
调解	tiao jie
调控	tiao kong
条款	tiao kuan
条例	tiao li
条码	tiao ma
调试	tiao shi
跳舞	tiao wu
挑选	tiao xuan
跳跃	tiao yue
挑战	tiao zhan
调整	tiao zheng
铁板	tie ban
贴的	tie de
贴近	tie jin
铁路	tie lu
铁树	tie shu
贴图	tie tu
帖子	tie zi
停车	ting che
停车场	ting che chang
听到	ting dao
听得	ting de
听见	ting jian
听课	ting ke
听了	ting le
停了	ting le
听力	ting li
停留	ting liu
听取	ting qu
听说	ting shuo
停下	ting xia
听着	ting zhe
听证	ting zheng
停止	ting zhi
听众	ting zhong
同伴	tong ban
通报	tong bao
同比	tong bi
同比增长	tong bi zeng zhang
同步	tong bu
通常	tong chang
通常是	tong chang shi
统筹	tong chou
通道	tong dao
同等	tong deng
通风	tong feng
通告	tong gao
通过	tong guo
通过了	tong guo le
通过网络	tong guo wang luo
同行	tong hang
通话	tong hua
童话	tong hua
统计	tong ji
同级	tong ji
统计数据	tong ji shu ju
痛苦	tong ku
痛苦的	tong ku de
同类	tong lei
童年	tong nian
同期	tong qi
同情	tong qing
同上	tong shang
同时	tong shi
同事	tong shi
同时也	tong shi ye
通往	tong wang
通信	tong xin
同行	tong xing
通行	tong xing
同学	tong xue
同学们	tong xue men
通讯	tong xun
通讯地址	tong xun di zhi
同样	tong yang
同样是	tong yang shi
同意	tong yi
统一的	tong yi de
同一个	tong yi ge
通用	tong yong
通知	tong zhi
同志们	tong zhi men
通知书	tong zhi shu
投保	tou bao
投标	tou biao
投标人	tou biao ren
头部	tou bu
投产	tou chan
头的	tou de
头顶	tou ding
头发	tou fa
投放	tou fang
投稿	tou gao
透过	tou guo
投机	tou ji
透露	tou lu
透明	tou ming
透明的	tou ming de
透明度	tou ming du
头脑	tou nao
投票	tou piao
投入	tou ru
头上	tou shang
投诉	tou su
头痛	tou tong
头衔	tou xian
头像	tou xiang
投影	tou ying
投影机	tou ying ji
投注	tou zhu
投资	tou zi
投资项目	tou zi xiang mu
投资者	tou zi zhe
图案	tu an
图标	tu biao
徒步	tu bu
图层	tu ceng
突出	tu chu
突出的	tu chu de
突出问题	tu chu wen ti
土地	tu di
土豆	tu dou
突发	tu fa
突发事件	tu fa shi jian
途径	tu jing
图库	tu ku
图例	tu li
涂料	tu liao
涂抹	tu mo
图片	tu pian
突破	tu po
突然	tu ran
土壤	tu rang
图书	tu shu
图书馆	tu shu guan
图文	tu wen
图像	tu xiang
图形	tu xing
图纸	tu zhi
途中	tu zhong
兔子	tu zi
团队	tuan dui
团购	tuan gou
团结	tuan jie
团体	tuan ti
团委	tuan wei
团员	tuan yuan
团长	tuan zhang
团组织	tuan zu zhi
推迟	tui chi
推出	tui chu
退出	tui chu
退出后	tui chu hou
推出后	tui chu hou
推出了	tui chu le
推动	tui dong
推动了	tui dong le
推翻	tui fan
推广	tui guang
退还	tui huan
退回	tui hui
退货	tui huo
推荐	tui jian
推荐的	tui jian de
推荐给	tui jian gei
推荐使用	tui jian shi yong
推介	tui jie
推进	tui jin
推开	tui kai
推理	tui li
推向	tui xiang
推销	tui xiao
推行	tui xing
退休	tui xiu
臀部	tun bu
托管	tuo guan
拓宽	tuo kuan
脱离	tuo li
脱落	tuo luo
托盘	tuo pan
拖欠	tuo qian
脱颖而出	tuo ying er chu
拓展	tuo zhan
挖掘	wa jue
外包	wai bao
外表	wai biao
外部	wai bu
外出	wai chu
外地	wai di
外挂	wai gua
外观	wai guan
外国	wai guo
外国人	wai guo ren
外汇	wai hui
外交	wai jiao
外界	wai jie
外壳	wai ke
外科	wai ke
外来	wai lai
外贸	wai mao
外面	wai mian
外商	wai shang
外商投资	wai shang tou zi
外套	wai tao
外形	wai xing
外型	wai xing
外语	wai yu
外在	wai zai
外资	wai zi
外资企业	wai zi qi ye
完毕	wan bi
晚餐	wan can
完成	wan cheng
完成后	wan cheng hou
完成了	wan cheng le
玩的	wan de
万吨	wan dun
万多	wan duo
万股	wan gu
晚会	wan hui
玩家	wan jia
玩具	wan ju
完了	wan le
万里	wan li
万辆	wan liang
完美	wan mei
完美的	wan mei de
万美元	wan mei yuan
万亩	wan mu
弯曲	wan qu
完全	wan quan
完全不	wan quan bu
完全可以	wan quan ke yi
完全是	wan quan shi
万人	wan ren
完善	wan shan
晚上	wan shang
万台	wan tai
万物	wan wu
玩笑	wan xiao
万一	wan yi
万余	wan yu
万元	wan yuan
万元以上	wan yuan yi shang
万元以下	wan yuan yi xia
完整	wan zheng
完整性	wan zheng xing
网吧	wang ba
王朝	wang chao
网点	wang dian
网店	wang dian
往返	wang fan
网管	wang guan
网关	wang guan
王国	wang guo
忘记	wang ji
忘记了	wang ji le
忘记密码	wang ji mi ma
网卡	wang ka
往来	wang lai
忘了	wang le
网络	wang luo
网络安全	wang luo an quan
网络服务	wang luo fu wu
网络广告	wang luo guang gao
网络技术	wang luo ji shu
网络实名	wang luo shi ming
网络营销	wang luo ying xiao
网络游戏	wang luo you xi
网民	wang min
网名	wang ming
网上	wang shang
往事	wang shi
网通	wang tong
王先生	wang xian sheng
网页	wang ye
网易	wang yi
网友	wang you
网游	wang you
网友观点	wang you guan dian
网友评论	wang you ping lun
网站	wang zhan
网站建设	wang zhan jian she
望着	wang zhe
网址	wang zhi
王子	wang zi
为保证	wei bao zheng
违背	wei bei
为本	wei ben
未必	wei bi
未成年	wei cheng nian
未成年人	wei cheng nian ren
维持	wei chi
为此	wei ci
伟大	wei da
伟大的	wei da de
为大家	wei da jia
为代表	wei dai biao
味道	wei dao
违法	wei fa
违法所得	wei fa suo de
违法行为	wei fa xing wei
违反	wei fan
为该	wei gai
为广大	wei guang da
违规	wei gui
为国家	wei guo jia
危害	wei hai
威海	wei hai
为何	wei he
为核心	wei he xin
维护	wei hu
未婚	wei hun
危机	wei ji
为基础	wei ji chu
为基础的	wei ji chu de
为进一步	wei jin yi bu
未经	wei jing
未经同意	wei jing tong yi
未经许可	wei jing xu ke
为客户	wei ke hu
未来	wei lai
未来的	wei lai de
为了	wei le
为了保证	wei le bao zheng
为了达到	wei le da dao
为了让	wei le rang
威力	wei li
为民	wei min
为目标	wei mu biao
未能	wei neng
为你	wei ni
为您	wei nin
为您提供	wei nin ti gong
为其	wei qi
为期	wei qi
为企业	wei qi ye
委屈	wei qu
维权	wei quan
为确保	wei que bao
围绕	wei rao
为人	wei ren
为荣	wei rong
微软	wei ruan
为什么	wei shen me
为什么会	wei shen me hui
为什么要	wei shen me yao
卫生	wei sheng
卫生部	wei sheng bu
卫生间	wei sheng jian
卫生局	wei sheng ju
维生素	wei sheng su
微生物	wei sheng wu
为实现	wei shi xian
为首	wei shou
猥琐	wei suo
为他	wei ta
为她	wei ta
为他们	wei ta men
委托	wei tuo
委托人	wei tuo ren
威望	wei wang
为我	wei wo
为我们	wei wo men
危险	wei xian
危险的	wei xian de
微笑	wei xiao
微笑着	wei xiao zhe
威胁	wei xie
微信	wei xin
卫星	wei xing
微型	wei xing
维修	wei xiu
尾页	wei ye
唯一	wei yi
为宜	wei yi
唯一的	wei yi de
为一体	wei yi ti
唯有	wei you
为由	wei you
位于	wei yu
委员	wei yuan
委员会	wei yuan hui
违约	wei yue
违约金	wei yue jin
伪造	wei zao
位置	wei zhi
未知	wei zhi
为止	wei zhi
为之	wei zhi
为重点	wei zhong dian
为中心	wei zhong xin
为主	wei zhu
未注册	wei zhu ce
为主题	wei zhu ti
为主体	wei zhu ti
为准	wei zhun
为自己	wei zi ji
文本	wen ben
稳步	wen bu
文档	wen dang
问道	wen dao
稳定	wen ding
稳定的	wen ding de
稳定性	wen ding xing
温度	wen du
文革	wen ge
温和	wen he
问候	wen hou
文化	wen hua
文化部	wen hua bu
文化产业	wen hua chan ye
文化建设	wen hua jian she
文件	wen jian
文件大小	wen jian da xiao
文件的	wen jian de
文件夹	wen jian jia
文件名	wen jian ming
文件中	wen jian zhong
文科	wen ke
问了	wen le
文明	wen ming
温暖	wen nuan
文凭	wen ping
温泉	wen quan
温柔	wen rou
文书	wen shu
问他	wen ta
问题	wen ti
文体	wen ti
问题是	wen ti shi
问我	wen wo
文物	wen wu
文献	wen xian
温馨	wen xin
文学	wen xue
文艺	wen yi
问一句	wen yi ju
文章	wen zhang
文章来源	wen zhang lai yuan
温州	wen zhou
温州市	wen zhou shi
文字	wen zi
我爱	wo ai
我爱你	wo ai ni
我把	wo ba
我不	wo bu
我不会	wo bu hui
我不能	wo bu neng
我不是	wo bu shi
我不想	wo bu xiang
我不知道	wo bu zhi dao
我才	wo cai
我从	wo cong
我当时	wo dang shi
我到	wo dao
我的	wo de
我的心	wo de xin
我都	wo dou
我对	wo dui
沃尔玛	wo er ma
我发现	wo fa xian
我给	wo gei
我跟	wo gen
我公司	wo gong si
我国	wo guo
我还	wo hai
我还是	wo hai shi
我好	wo hao
我和	wo he
我很	wo hen
我会	wo hui
我家	wo jia
我将	wo jiang
我叫	wo jiao
我就	wo jiu
我就是	wo jiu shi
我局	wo ju
我觉得	wo jue de
我看	wo kan
我可	wo ke
我可以	wo ke yi
我来	wo lai
我没	wo mei
我没有	wo mei you
我们	wo men
我们把	wo men ba
我们必须	wo men bi xu
我们不	wo men bu
我们从	wo men cong
我们党	wo men dang
我们公司	wo men gong si
我们将	wo men jiang
我们就	wo men jiu
我们可以	wo men ke yi
我们认为	wo men ren wei
我们是	wo men shi
我们要	wo men yao
我们也	wo men ye
我们应该	wo men ying gai
我们有	wo men you
我们知道	wo men zhi dao
我们自己	wo men zi ji
我能	wo neng
我去	wo qu
我区	wo qu
我却	wo que
我认为	wo ren wei
我省	wo sheng
我是	wo shi
我市	wo shi
卧室	wo shi
我是一个	wo shi yi ge
我说	wo shuo
我司	wo si
我所	wo suo
我为	wo wei
我问	wo wen
我喜欢	wo xi huan
我希望	wo xi wang
我现在	wo xian zai
我想	wo xiang
我相信	wo xiang xin
我校	wo xiao
我心里	wo xin li
我要	wo yao
我也	wo ye
我也不	wo ye bu
我也是	wo ye shi
我已	wo yi
我已经	wo yi jing
我一直	wo yi zhi
我用	wo yong
我有	wo you
我又	wo you
我院	wo yuan
我在	wo zai
我怎么	wo zen me
我站	wo zhan
我这	wo zhe
我真	wo zhen
我正	wo zheng
我只	wo zhi
我知道	wo zhi dao
我只是	wo zhi shi
我终于	wo zhong yu
我自己	wo zi ji
我最	wo zui
我做	wo zuo
无比	wu bi
务必	wu bi
无不	wu bu
午餐	wu can
误差	wu cha
五大	wu da
舞蹈	wu dao
误导	wu dao
无敌	wu di
无底线	wu di xian
屋顶	wu ding
无法	wu fa
无法下载	wu fa xia zai
五个	wu ge
五个亿	wu ge yi
武功	wu gong
无关	wu guan
武汉	wu han
武汉市	wu han shi
误会	wu hui
误解	wu jie
物理	wu li
无力	wu li
屋里	wu li
